LocationType,Location,TimeFrame,DataFormat,Data
County,Daviess,2012,Number,1879
County,Daviess,2013,Number,1387
County,Daviess,2014,Number,1086
County,Daviess,2015,Number,878
County,Daviess,2016,Number,915
County,Daviess,2017,Number,913
County,Daviess,2018,Number,1040
County,Daviess,2019,Number,1076
County,Daviess,2020,Number,963
County,Daviess,2021,Number,855
County,Daviess,2022,Number,866
County,Edmonson,2001,Number,67
County,Edmonson,2002,Number,84
County,Edmonson,2003,Number,56
County,Edmonson,2004,Number,88
County,Edmonson,2005,Number,98
County,Edmonson,2006,Number,91
County,Edmonson,2007,Number,94
County,Edmonson,2008,Number,82
County,Edmonson,2009,Number,82
County,Edmonson,2010,Number,70
County,Edmonson,2011,Number,85
County,Edmonson,2012,Number,82
County,Edmonson,2013,Number,50
County,Edmonson,2014,Number,35
County,Edmonson,2015,Number,26
County,Edmonson,2016,Number,25
County,Edmonson,2017,Number,26
County,Edmonson,2018,Number,36
County,Edmonson,2019,Number,98
County,Edmonson,2020,Number,71
County,Edmonson,2021,Number,60
County,Edmonson,2022,Number,71
County,Elliott,2001,Number,25
County,Elliott,2002,Number,45
County,Elliott,2003,Number,27
County,Elliott,2004,Number,49
County,Elliott,2005,Number,56
County,Elliott,2006,Number,60
County,Elliott,2007,Number,26
County,Elliott,2008,Number,26
County,Elliott,2009,Number,11
County,Elliott,2010,Number,5
County,Elliott,2011,Number,12
County,Elliott,2012,Number,7
County,Elliott,2013,Number,11
County,Elliott,2014,Number,<10
County,Elliott,2015,Number,<10
County,Elliott,2016,Number,<10
County,Elliott,2017,Number,<10
County,Elliott,2018,Number,<10
County,Elliott,2019,Number,<10
County,Elliott,2020,Number,11
County,Elliott,2021,Number,14
County,Elliott,2022,Number,<10
County,Estill,2001,Number,108
County,Estill,2002,Number,114
County,Estill,2003,Number,136
County,Estill,2004,Number,216
County,Estill,2005,Number,249
County,Estill,2006,Number,273
County,Estill,2007,Number,255
County,Estill,2008,Number,285
County,Estill,2009,Number,272
County,Estill,2010,Number,223
County,Estill,2011,Number,244
County,Estill,2012,Number,231
County,Estill,2013,Number,175
County,Estill,2014,Number,141
County,Estill,2015,Number,90
County,Estill,2016,Number,68
County,Estill,2017,Number,66
County,Estill,2018,Number,94
County,Estill,2019,Number,119
County,Estill,2020,Number,104
County,Estill,2021,Number,79
County,Estill,2022,Number,82
County,Fayette,2001,Number,3324
County,Fayette,2002,Number,3777
County,Fayette,2003,Number,3692
County,Fayette,2004,Number,5621
County,Fayette,2005,Number,6152
County,Fayette,2006,Number,6545
County,Fayette,2007,Number,6585
County,Fayette,2008,Number,6866
County,Fayette,2009,Number,6759
County,Fayette,2010,Number,7021
County,Fayette,2011,Number,7303
County,Fayette,2012,Number,7333
County,Fayette,2013,Number,5561
County,Fayette,2014,Number,4634
County,Fayette,2015,Number,4043
County,Fayette,2016,Number,4368
County,Fayette,2017,Number,4348
County,Fayette,2018,Number,4652
County,Fayette,2019,Number,4632
County,Fayette,2020,Number,4056
County,Fayette,2021,Number,3409
County,Fayette,2022,Number,3351
County,Fleming,2001,Number,95
County,Fleming,2002,Number,118
County,Fleming,2003,Number,146
County,Fleming,2004,Number,206
County,Fleming,2005,Number,227
County,Fleming,2006,Number,236
County,Fleming,2007,Number,247
County,Fleming,2008,Number,231
County,Fleming,2009,Number,148
County,Fleming,2010,Number,131
County,Fleming,2011,Number,118
County,Fleming,2012,Number,111
County,Fleming,2013,Number,88
County,Fleming,2014,Number,70
County,Fleming,2015,Number,45
County,Fleming,2016,Number,38
County,Fleming,2017,Number,54
County,Fleming,2018,Number,69
