LocationType,Location,TimeFrame,DataFormat,Data
School District,Corbin Ind.,2023,Rate,91.5
School District,Corbin Ind.,2024,Rate,97.3
School District,Covington Ind.,2013,Rate,80.7
School District,Covington Ind.,2014,Rate,81.5
School District,Covington Ind.,2015,Rate,81.9
School District,Covington Ind.,2016,Rate,75.3
School District,Covington Ind.,2017,Rate,76.2
School District,Covington Ind.,2018,Rate,84.1
School District,Covington Ind.,2019,Rate,78.4
School District,Covington Ind.,2020,Rate,75.3
School District,Covington Ind.,2021,Rate,77.9
School District,Covington Ind.,2022,Rate,78.8
School District,Covington Ind.,2023,Rate,77.1
School District,Covington Ind.,2024,Rate,84.3
School District,Crittenden Co.,2013,Rate,83.5
School District,Crittenden Co.,2014,Rate,83.9
School District,Crittenden Co.,2015,Rate,83
School District,Crittenden Co.,2016,Rate,86.6
School District,Crittenden Co.,2017,Rate,79.6
School District,Crittenden Co.,2018,Rate,90.3
School District,Crittenden Co.,2019,Rate,89.5
School District,Crittenden Co.,2020,Rate,91.8
School District,Crittenden Co.,2021,Rate,91.9
School District,Crittenden Co.,2022,Rate,85.6
School District,Crittenden Co.,2023,Rate,95.8
School District,Crittenden Co.,2024,Rate,94.3
School District,Cumberland Co.,2013,Rate,95.2
School District,Cumberland Co.,2014,Rate,92.4
School District,Cumberland Co.,2015,Rate,92.5
School District,Cumberland Co.,2016,Rate,94.9
School District,Cumberland Co.,2017,Rate,98.5
School District,Cumberland Co.,2018,Rate,98.7
School District,Cumberland Co.,2019,Rate,100
School District,Cumberland Co.,2020,Rate,100
School District,Cumberland Co.,2021,Rate,98.4
School District,Cumberland Co.,2022,Rate,97.2
School District,Cumberland Co.,2023,Rate,100
School District,Cumberland Co.,2024,Rate,93.2
School District,Danville Ind.,2013,Rate,82.7
School District,Danville Ind.,2014,Rate,85
School District,Danville Ind.,2015,Rate,89.5
School District,Danville Ind.,2016,Rate,92.6
School District,Danville Ind.,2017,Rate,96.7
School District,Danville Ind.,2018,Rate,96
School District,Danville Ind.,2019,Rate,91.2
School District,Danville Ind.,2020,Rate,88.5
School District,Danville Ind.,2021,Rate,90.3
School District,Danville Ind.,2022,Rate,86.7
School District,Danville Ind.,2023,Rate,86.3
School District,Danville Ind.,2024,Rate,92.8
School District,Daviess Co.,2013,Rate,92
School District,Daviess Co.,2014,Rate,92.6
School District,Daviess Co.,2015,Rate,92.2
School District,Daviess Co.,2016,Rate,91.1
School District,Daviess Co.,2017,Rate,90.1
School District,Daviess Co.,2018,Rate,94.1
School District,Daviess Co.,2019,Rate,92.3
School District,Daviess Co.,2020,Rate,91.1
School District,Daviess Co.,2021,Rate,89.2
School District,Daviess Co.,2022,Rate,92.1
School District,Daviess Co.,2023,Rate,92.6
School District,Daviess Co.,2024,Rate,93.5
